AUDI TT, MARCA:AUDI, CARROCERIA: CUPE, TRACAO: DIANTEIRA, DIRECAO: ELETRICA, POTENCIA(CV): 230
E TRON SPORTBACK, MARCA:AUDI, CARROCERIA: CUPE, TRASMISSAO: AUTOMATICA, POTENCIA(CV): 408, VELC.MAX: 200KM/H
AUDI A7, MARCA:AUDI, CARROCERIA: CUPE, TRACAO: DIANTEIRA, DIRECAO: ELETRICA, POTENCIA(CV): 230
AUDI A4, MARCA:AUDI, CARROCERIA: CUPE, TRACAO: DIANTEIRA, DIRECAO: ELETRICA, POTENCIA(CV): 230
AUDI A5, MARCA:AUDI, CARROCERIA: CUPE, TRACAO: DIANTEIRA, DIRECAO: ELETRICA, POTENCIA(CV): 230
AUDI A6, MARCA:AUDI, CARROCERIA: CUPE, TRACAO: DIANTEIRA, DIRECAO: ELETRICA, POTENCIA(CV): 230
AUDI RS4, MARCA:AUDI, CARROCERIA: CUPE, TRACAO: DIANTEIRA, DIRECAO: ELETRICA, POTENCIA(CV): 230
AUDI RS5, MARCA:AUDI, CARROCERIA: CUPE, TRACAO: DIANTEIRA, DIRECAO: ELETRICA, POTENCIA(CV): 230
AUDI RS6, MARCA:AUDI, CARROCERIA: CUPE, TRACAO: DIANTEIRA, DIRECAO: ELETRICA, POTENCIA(CV): 230
AUDI RS7, MARCA:AUDI, CARROCERIA: CUPE, TRACAO: DIANTEIRA, DIRECAO: ELETRICA, POTENCIA(CV): 230
AUDI R8, MARCA:AUDI, CARROCERIA: CUPE, TRACAO: DIANTEIRA, DIRECAO: ELETRICA, POTENCIA(CV): 230
AUDI RSQ3, MARCA:AUDI, CARROCERIA: CUPE, TRACAO: DIANTEIRA, DIRECAO: ELETRICA, POTENCIA(CV): 230
